=== luc@lucario_v10 vs rule:v10,noS@lucario_v10 matches=250 ===
⚠ p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea898-ed660f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 204 seat1: winner=0 turns=13 selects=173
  match 205 seat0: winner=1 turns=14 selects=158
  match 205 seat1: winner=1 turns=12 selects=144
  match 206 seat0: winner=0 turns=17 selects=131
  match 206 seat1: winner=0 turns=11 selects=159
  match 207 seat0: winner=0 turns=13 selects=131
  match 207 seat1: winner=0 turns=11 selects=136
  match 208 seat0: winner=0 turns=11 selects=67
  match 208 seat1: winner=1 turns=10 selects=84
  match 209 seat0: winner=1 turns=12 selects=135
  match 209 seat1: winner=0 turns=9 selects=84
  match 210 seat0: winner=1 turns=12 selects=137
  match 210 seat1: winner=1 turns=10 selects=122
  match 211 seat0: winner=1 turns=10 selects=148
  match 211 seat1: winner=1 turns=10 selects=125
  match 212 seat0: winner=1 turns=13 selects=154
  match 212 seat1: winner=0 turns=13 selects=168
  match 213 seat0: winner=1 turns=10 selects=99
  match 213 seat1: winner=0 turns=17 selects=134
  match 214 seat0: winner=1 turns=12 selects=149
  match 214 seat1: winner=0 turns=11 selects=154
  match 215 seat0: winner=1 turns=13 selects=152
  match 215 seat1: winner=1 turns=12 selects=153
  match 216 seat0: winner=1 turns=12 selects=135
  match 216 seat1: winner=1 turns=4 selects=40
  match 217 seat0: winner=0 turns=11 selects=145
  match 217 seat1: winner=0 turns=15 selects=153
  match 218 seat0: winner=0 turns=11 selects=65
  match 218 seat1: winner=0 turns=11 selects=121
  match 219 seat0: winner=0 turns=5 selects=49
  match 219 seat1: winner=1 turns=14 selects=133
  match 220 seat0: winner=0 turns=11 selects=114
  match 220 seat1: winner=0 turns=15 selects=159
  match 221 seat0: winner=0 turns=11 selects=127
  match 221 seat1: winner=1 turns=10 selects=70
  match 222 seat0: winner=1 turns=8 selects=74
  match 222 seat1: winner=1 turns=14 selects=176
  match 223 seat0: winner=1 turns=14 selects=156
  match 223 seat1: winner=0 turns=11 selects=105
  match 224 seat0: winner=1 turns=12 selects=143
  match 224 seat1: winner=1 turns=12 selects=140
  match 225 seat0: winner=1 turns=12 selects=119
  match 225 seat1: winner=1 turns=20 selects=102
  match 226 seat0: winner=0 turns=24 selects=119
  match 226 seat1: winner=1 turns=12 selects=144
  match 227 seat0: winner=1 turns=10 selects=152
  match 227 seat1: winner=0 turns=11 selects=155
