=== ala@alakazam5 vs rule:alakazam5@alakazam5 matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 190 seat1: winner=0 turns=19 selects=207
  match 191 seat0: winner=1 turns=14 selects=169
  match 191 seat1: winner=1 turns=16 selects=141
  match 192 seat0: winner=0 turns=19 selects=141
  match 192 seat1: winner=1 turns=14 selects=146
  match 193 seat0: winner=0 turns=13 selects=155
  match 193 seat1: winner=0 turns=23 selects=205
  match 194 seat0: winner=0 turns=15 selects=170
  match 194 seat1: winner=1 turns=6 selects=35
  match 195 seat0: winner=0 turns=15 selects=156
  match 195 seat1: winner=1 turns=18 selects=164
  match 196 seat0: winner=0 turns=17 selects=162
  match 196 seat1: winner=1 turns=16 selects=108
  match 197 seat0: winner=0 turns=13 selects=157
  match 197 seat1: winner=0 turns=18 selects=178
  match 198 seat0: winner=0 turns=15 selects=135
  match 198 seat1: winner=1 turns=22 selects=126
  match 199 seat0: winner=1 turns=12 selects=164
  match 199 seat1: winner=0 turns=11 selects=139

A=bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.755 [0.711, 0.795] W302/D0/L98 over 400 games
  as P0: W/D/L=(151, 0, 49)  as P1: W/D/L=(151, 0, 49)
  elapsed 65.9s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_ala_alakazam5_vs_rulealakazam5_alakazam5.jsonl
  [health] OK calls=30023 fallbacks=0 net_missing=0 deck=400
