=== oger@teal_mask_ogerpon vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacae-a83f02; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 172 seat1: winner=0 turns=19 selects=123
  match 173 seat0: winner=1 turns=22 selects=134
  match 173 seat1: winner=0 turns=20 selects=141
  match 174 seat0: winner=1 turns=20 selects=121
  match 174 seat1: winner=0 turns=24 selects=144
  match 175 seat0: winner=1 turns=19 selects=131
  match 175 seat1: winner=0 turns=18 selects=117
  match 176 seat0: winner=1 turns=20 selects=120
  match 176 seat1: winner=0 turns=20 selects=113
  match 177 seat0: winner=1 turns=22 selects=143
  match 177 seat1: winner=0 turns=17 selects=108
  match 178 seat0: winner=1 turns=18 selects=126
  match 178 seat1: winner=0 turns=21 selects=126
  match 179 seat0: winner=1 turns=10 selects=49
  match 179 seat1: winner=0 turns=24 selects=150
  match 180 seat0: winner=1 turns=18 selects=124
  match 180 seat1: winner=0 turns=23 selects=126
  match 181 seat0: winner=1 turns=20 selects=137
  match 181 seat1: winner=0 turns=20 selects=133
  match 182 seat0: winner=1 turns=17 selects=113
  match 182 seat1: winner=0 turns=22 selects=117
  match 183 seat0: winner=1 turns=20 selects=119
  match 183 seat1: winner=0 turns=22 selects=123
  match 184 seat0: winner=1 turns=20 selects=122
  match 184 seat1: winner=0 turns=22 selects=122
  match 185 seat0: winner=1 turns=19 selects=126
  match 185 seat1: winner=0 turns=20 selects=115
  match 186 seat0: winner=1 turns=20 selects=134
  match 186 seat1: winner=0 turns=24 selects=138
  match 187 seat0: winner=1 turns=20 selects=130
  match 187 seat1: winner=0 turns=21 selects=130
  match 188 seat0: winner=1 turns=22 selects=133
  match 188 seat1: winner=0 turns=19 selects=127
  match 189 seat0: winner=1 turns=18 selects=111
  match 189 seat1: winner=0 turns=20 selects=99
  match 190 seat0: winner=1 turns=20 selects=137
  match 190 seat1: winner=0 turns=20 selects=126
  match 191 seat0: winner=1 turns=21 selects=132
  match 191 seat1: winner=0 turns=21 selects=142
  match 192 seat0: winner=1 turns=18 selects=117
  match 192 seat1: winner=0 turns=20 selects=126
  match 193 seat0: winner=1 turns=21 selects=128
  match 193 seat1: winner=0 turns=20 selects=128
  match 194 seat0: winner=1 turns=17 selects=109
  match 194 seat1: winner=0 turns=23 selects=123
  match 195 seat0: winner=1 turns=21 selects=119
  match 195 seat1: winner=0 turns=24 selects=134
